suborder_code,undel,threepl,lqd
20808721997,(null),2016-11-26 17:48:38,(null)
20166820247,(null),2016-11-05 19:28:00,(null)
20866411740,(null),2016-12-03 16:57:10,(null)
20232925518,(null),2016-11-09 20:34:16,(null)
21430101022,(null),2016-12-20 20:17:30,(null)
21143298915,(null),2016-12-10 16:50:42,(null)
21368253728,(null),2016-12-23 16:43:04,(null)
21419208204,(null),2016-12-26 16:48:18,(null)
19688124732,(null),2016-11-22 17:01:48,(null)
20194274002,(null),2016-11-07 00:00:24,(null)
20719095086,(null),2016-11-19 16:10:22,(null)
21622666694,(null),2016-12-23 17:20:09,(null)
20606951621,(null),2016-11-12 15:40:38,(null)
21396810513,(null),2016-12-15 19:43:53,(null)
19708780186,(null),2016-11-11 17:10:15,(null)
21416260045,(null),2016-12-20 20:18:21,(null)
20445998655,(null),2016-11-15 18:26:59,(null)
21231865810,(null),2016-12-15 15:46:07,(null)
21079117910,(null),2016-12-06 16:23:16,(null)
21025973021,(null),2016-12-05 16:23:13,(null)
20222776919,(null),2016-11-07 17:37:13,(null)
20467516834,(null),2016-11-07 17:32:47,(null)
21106672375,(null),2016-12-24 17:55:20,(null)
21128312480,(null),2016-12-15 19:42:52,(null)
20783172120,(null),2016-11-18 18:28:16,(null)
20935732944,(null),2016-12-01 14:58:09,(null)
20708519718,(null),2016-11-18 17:59:50,(null)
20359389125,(null),2016-11-04 16:52:32,(null)
20732795017,(null),2016-11-22 15:35:15,(null)
20980111022,(null),2016-12-06 16:50:31,(null)
19679877938,(null),2016-11-06 23:52:22,(null)
21170029855,(null),2016-12-20 18:34:09,(null)
21053224726,(null),2016-12-05 18:31:56,(null)
21124941624,(null),2016-12-06 20:00:31,(null)
20222608427,(null),2016-11-14 16:44:01,(null)
21059642551,(null),2016-12-09 16:02:02,(null)
18539665653,(null),2016-12-09 17:32:55,(null)
20786578946,(null),2016-11-21 17:57:24,(null)
20450186916,(null),2016-11-08 17:35:15,(null)
20602574550,(null),2016-11-09 17:24:51,(null)
20613648702,(null),2016-11-25 15:58:29,(null)
20363617624,(null),2016-11-09 17:24:26,(null)
21098389114,(null),2016-12-07 17:30:31,(null)
20505055578,(null),2016-11-13 18:05:57,(null)
21035554581,(null),2016-12-22 17:56:30,(null)
20087508330,(null),2016-11-11 17:56:12,(null)
21185654671,(null),2016-12-16 21:05:03,(null)
21143999684,(null),2016-12-06 17:04:09,(null)
19892027905,(null),2016-11-05 00:26:30,(null)
20382386179,(null),2016-11-09 17:25:00,(null)
20979296672,(null),2016-12-08 16:49:10,(null)
20538175175,(null),2016-11-11 18:02:00,(null)
20983470744,(null),2016-12-03 16:55:40,(null)
19653727241,(null),2016-11-25 17:40:29,(null)
19796667332,(null),2016-11-05 18:10:56,(null)
20846134356,(null),2016-11-25 15:41:51,(null)
20686657563,(null),2016-11-22 18:17:32,(null)
19152821526,(null),2016-12-05 18:35:36,(null)
20924762988,(null),2016-12-07 17:51:27,(null)
20952098891,(null),2016-11-29 15:55:10,(null)
20388265246,(null),2016-11-17 16:11:41,(null)
20889934292,(null),2016-11-28 17:11:00,(null)
21143324758,(null),2016-12-06 18:25:24,(null)
17693040771,(null),2016-12-05 17:34:02,(null)
20909714771,(null),2016-11-24 17:15:35,(null)
20861554946,(null),2016-11-22 17:02:08,(null)
21095636964,(null),2016-12-10 13:52:10,(null)
20564332486,(null),2016-11-16 22:45:12,(null)
19307319838,(null),2016-11-17 13:45:10,(null)
20957956734,(null),2016-11-25 16:34:11,(null)
21373939569,(null),2016-12-20 20:17:14,(null)
20860234489,(null),2016-11-26 15:24:55,(null)
20933917886,(null),2016-11-30 18:14:16,(null)
21249121094,(null),2016-12-24 15:35:39,(null)
19700359039,(null),2016-11-04 10:16:01,(null)
20294237660,(null),2016-11-17 15:37:14,(null)
21081534426,(null),2016-12-14 18:21:30,(null)
20403122197,(null),2016-11-12 18:06:18,(null)
20639940109,(null),2016-11-26 17:34:13,(null)
20361258983,(null),2016-11-09 18:48:48,(null)
20887780071,(null),2016-11-22 19:53:03,(null)
20316264747,(null),2016-11-12 18:09:39,(null)
21036978184,(null),2016-12-02 17:20:05,(null)
19542186672,(null),2016-11-10 17:21:23,(null)
21386440277,(null),2016-12-23 16:42:04,(null)
21464557671,(null),2016-12-21 19:52:41,(null)
21112054733,(null),2016-12-16 17:43:21,(null)
19938168107,(null),2016-11-13 17:59:05,(null)
20961718183,(null),2016-12-05 15:50:30,(null)
18874581515,(null),2016-11-17 15:39:28,(null)
20800733053,(null),2016-11-24 15:28:50,(null)
20152224693,(null),2016-10-28 19:03:15,(null)
21401892967,(null),2016-12-20 17:33:58,(null)
21038123831,(null),2016-12-13 18:15:38,(null)
20979277305,(null),2016-12-02 16:36:14,(null)
20307057917,(null),2016-11-17 20:52:07,(null)
20147213591,(null),2016-11-05 19:16:36,(null)
20375580999,(null),2016-11-07 17:37:26,(null)
20197590045,(null),2016-11-14 17:43:49,(null)
19874289652,(null),2016-11-08 15:56:21,(null)
20574603220,(null),2016-11-17 20:50:27,(null)
20291540719,(null),2016-11-06 18:02:58,(null)
20820147508,(null),2016-11-28 17:42:50,(null)
20588314742,(null),2016-11-23 16:04:28,(null)
20349533868,(null),2016-11-05 19:04:23,(null)
21093995961,(null),2016-12-16 18:08:23,(null)
20495075176,(null),2016-11-18 17:59:04,(null)
20275093457,(null),2016-11-17 16:25:02,(null)
20381545240,(null),2016-11-10 20:33:22,(null)
20527111069,(null),2016-11-11 17:13:16,(null)
20718787654,(null),2016-11-25 16:38:41,(null)
21187724415,(null),2016-12-23 16:11:34,(null)
20857083414,(null),2016-11-22 13:02:39,(null)
19213915008,(null),2016-11-03 20:03:56,(null)
20599642131,(null),2016-11-24 15:42:35,(null)
21002399145,(null),2016-12-14 17:29:24,(null)
21223212044,(null),2016-12-24 15:36:01,(null)
20076830845,(null),2016-11-05 18:06:50,(null)
21234613818,(null),2016-12-16 18:11:39,(null)
21121448523,(null),2016-12-09 17:26:22,(null)
20346327768,(null),2016-11-14 19:46:04,(null)
21020443230,(null),2016-12-03 14:57:15,(null)
20539223689,(null),2016-11-14 19:13:41,(null)
21073635406,(null),2016-12-14 18:11:52,(null)
20387558616,(null),2016-11-14 18:20:21,(null)
19766319904,(null),2016-11-10 16:01:29,(null)
19272114646,(null),2016-10-18 20:17:27,(null)
20795577569,(null),2016-12-03 17:30:07,(null)
20396548162,(null),2016-11-17 17:33:44,(null)
